ID Usuario,subject,fecha_recepcion_requerimiento,descriptions_anonymized,tipo_mantenimiento
10000,El disco duro está lleno.,2022-10-08 02:18:36,"soy XY de XY y tengo el siguiente problema: el disco duro está lleno.. y para colmo, el navegador web funciona muy lento.",Mantenimiento Correctivo
10001,"Error en la BIOS/UEFI, el equipo no arranca.",2023-02-24 12:00:16,"soy XY de XY y tengo el siguiente problema: esto comenzó hace un par de horas: error en la bios/uefi, el equipo no arranca.",Mantenimiento Correctivo
10002,Problemas de conectividad de red y fallos en la navegación.,2023-10-25 01:01:45,reporte de XY por parte de XY: esto pasa desde ayer: problemas de conectividad de red y fallos en la navegación.,Mantenimiento Correctivo
10003,Actualizaciones del sistema operativo pendientes o fallidas.,2023-07-06 19:11:08,soy XY de XY y tengo el siguiente problema: hoy ha ocurrido lo siguiente: actualizaciones del sistema operativo pendientes o fallidas.,Mantenimiento Correctivo
10004,Rendimiento general muy bajo.,2022-01-22 16:09:29,"problema: rendimiento general muy bajo.. además, también he notado que sistema operativo lento, necesita optimización.. contacto: XY, code builders.",Mantenimiento Correctivo
10005,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2023-05-01 13:55:08,"esto comenzó hace un par de horas: rendimiento bajo, ventilador ruidoso y teclado defectuoso.. atentamente, XY de networks corp.",Mantenimiento Correctivo
10006,"Estoy realmente frustrado, mi equipo no funciona desde hace días.",2023-08-10 10:14:29,"estoy realmente frustrado, mi equipo no funciona desde hace días.. atentamente, josefa XY de future systems.",Mantenimiento Correctivo
10007,Ventilador hace mucho ruido.,2023-11-21 03:13:55,soy XY de cloud services y tengo el siguiente problema: he notado que desde la semana pasada: ventilador hace mucho ruido.,Mantenimiento Correctivo
10008,Problemas de Bluetooth y se borró información.,2022-05-21 06:45:06,reporte de global innovations por parte de XY: esto pasa desde ayer: problemas de bluetooth y se borró información.,Mantenimiento Correctivo
10009,"Problemas de gráficos, pantalla parpadea.",2023-11-06 12:33:23,"problema: problemas de gráficos, pantalla parpadea.. también quiero reportar que se ha borrado información accidentalmente.. contacto: josefa XY, cloud services.",Mantenimiento Correctivo
10010,El WiFi es intermitente y el sistema está lento.,2023-10-01 01:52:17,soy XY de XY y tengo el siguiente problema: el wifi es intermitente y el sistema está lento.,Mantenimiento Correctivo
10011,"Sonido no funciona, micrófono no detectado y webcam con problemas.",2023-05-22 19:39:36,"recientemente he tenido un inconveniente: sonido no funciona, micrófono no detectado y webcam con problemas.. atentamente, XY de code builders.",Mantenimiento Correctivo
10012,El disco duro está lleno.,2022-10-01 08:04:49,reporte de cloud services por parte de XY: hoy ha ocurrido lo siguiente: el disco duro está lleno.. también quiero reportar que problemas de audio y webcam no funciona.,Mantenimiento Correctivo
10013,"Puertos USB inoperativos, falta de espacio y rendimiento deficiente.",2023-02-03 18:16:28,"XY (future systems) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: puertos usb inoperativos, falta de espacio y rendimiento deficiente.",Mantenimiento Correctivo
10014,"Estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?",2023-03-05 17:36:02,"soy XY de networks corp y tengo el siguiente problema: hoy ha ocurrido lo siguiente: estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?",Mantenimiento Correctivo
10015,Necesito que esto esté funcionando para mañana.,2022-12-14 07:32:55,"XY funes (data dynamics) reporta el siguiente inconveniente: esto comenzó hace un par de horas: necesito que esto esté funcionando para mañana.. además, también he notado que fallo en disco duro, pérdida de datos.",Mantenimiento Correctivo
10016,"Software no responde, sistema lento y fallo en disco duro.",2022-11-25 18:38:01,"soy XY de code builders y tengo el siguiente problema: he notado que desde la semana pasada: software no responde, sistema lento y fallo en disco duro.",Mantenimiento Correctivo
10017,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2023-05-16 20:40:26,"reporte de future systems por parte de XY mosquera: esto comenzó hace un par de horas: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",Mantenimiento Correctivo
10018,¿Pueden guiarme paso a paso para solucionarlo?,2022-08-06 14:03:25,reporte de future systems por parte de XY: ¿pueden guiarme paso a paso para solucionarlo?,Mantenimiento Correctivo
10019,"Conexión a internet lenta, navegador web con fallos y mensajes emergentes.",2023-11-27 12:48:14,"soy josefa XY de digital edge y tengo el siguiente problema: conexión a internet lenta, navegador web con fallos y mensajes emergentes.. también quiero reportar que error en la bios/uefi, el equipo no arranca.",Mantenimiento Correctivo
10020,"Error de sistema, disco duro lleno y necesidad de nuevo software.",2022-06-02 14:30:59,"error de sistema, disco duro lleno y necesidad de nuevo software.. además, también he notado que el equipo no se conecta a internet después de una actualización.. atentamente, josefa asprilla de global innovations.",Mantenimiento Correctivo
10021,Necesito que esto esté funcionando para mañana.,2023-07-30 12:01:18,"desde global innovations, XY mosquera informa: esto pasa desde ayer: necesito que esto esté funcionando para mañana.",Mantenimiento Correctivo
10022,"Problemas de seguridad, posible infección de malware.",2023-03-12 18:32:15,"reporte de secureit por parte de XY: esto pasa desde ayer: problemas de seguridad, posible infección de malware.. también quiero reportar que monitor externo no detectado y no hay señal de video.",Mantenimiento Correctivo
10023,Batería se descarga muy rápido y el equipo se apaga.,2022-05-04 17:59:08,"desde secureit, XY informa: batería se descarga muy rápido y el equipo se apaga.. también quiero reportar que el equipo no responde y la pantalla está en negro.",Mantenimiento Correctivo
10024,Me siento impotente ante estos fallos continuos.,2023-09-22 00:49:32,"me siento impotente ante estos fallos continuos.. atentamente, XY de secureit.",Mantenimiento Correctivo
10025,"Impresora offline, problemas de conectividad y archivos corruptos.",2023-02-01 15:48:13,"el problema se presenta desde hace unos días: impresora offline, problemas de conectividad y archivos corruptos.. atentamente, XY valderrama de digital edge.",Mantenimiento Correctivo
10000,El navegador web funciona muy lento.,2023-05-09 12:01:47,XY (cloud services) reporta el siguiente inconveniente: el navegador web funciona muy lento.,Mantenimiento Correctivo
10016,Problemas de licencias y antivirus ineficaz.,2023-04-12 01:16:41,"desde XY, XY informa: hoy ha ocurrido lo siguiente: problemas de licencias y antivirus ineficaz.",Mantenimiento Correctivo
10011,El ventilador hace mucho ruido y el equipo se calienta demasiado.,2022-06-16 18:59:43,"problema: he notado que desde la semana pasada: el ventilador hace mucho ruido y el equipo se calienta demasiado.. además, también he notado que puerto usb no reconoce dispositivos.. contacto: XY, digital edge.",Mantenimiento Correctivo
10026,Quiero solicitar una mejora en la interfaz de usuario del software actual.,2023-11-21 18:52:34,"recientemente he tenido un inconveniente: quiero solicitar una mejora en la interfaz de usuario del software actual.. atentamente, XY de future systems.",Mantenimiento Evolutivo
10027,Se ha olvidado la contraseña de usuario.,2022-08-27 14:05:29,soy XY de global innovations y tengo el siguiente problema: el problema se presenta desde hace unos días: se ha olvidado la contraseña de usuario.,Mantenimiento Correctivo
10028,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-12-14 18:34:43,"desde secureit, XY asprilla informa: recientemente he tenido un inconveniente: batería no carga, sobrecalentamiento y pantalla con píxeles muertos.. y para colmo, impresora no detectada o no imprime.",Mantenimiento Correctivo
10003,Problemas de licencias y antivirus ineficaz.,2022-01-20 03:18:22,"desde future systems, XY informa: problemas de licencias y antivirus ineficaz.",Mantenimiento Correctivo
10029,Se ha borrado información accidentalmente.,2022-07-14 00:23:16,"problema: el problema se presenta desde hace unos días: se ha borrado información accidentalmente.. contacto: XY funes, XY.",Mantenimiento Correctivo
10030,"Mi pantalla parpadea constantemente, me está causando dolor de cabeza. ¿Se puede reparar o necesito una nueva?",2023-11-06 07:51:03,"reporte de cloud services por parte de XY: mi pantalla parpadea constantemente, me está causando dolor de cabeza. ¿se puede reparar o necesito una nueva?",Mantenimiento Correctivo
10031,"Estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?",2023-01-31 20:24:41,"he notado que desde la semana pasada: estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?. atentamente, XY de code builders.",Mantenimiento Correctivo
10032,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2023-06-08 02:21:00,"desde global innovations, XY informa: esto pasa desde ayer: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.. y para colmo, error al iniciar sesión y contraseña olvidada.",Mantenimiento Correctivo
10033,Me siento impotente ante estos fallos continuos.,2023-10-08 09:02:28,"problema: recientemente he tenido un inconveniente: me siento impotente ante estos fallos continuos.. contacto: XY funes, XY.",Mantenimiento Correctivo
10034,"El WiFi sigue cayéndose, es imposible trabajar. Necesito una solución permanente.",2023-04-11 05:25:09,"esto comenzó hace un par de horas: el wifi sigue cayéndose, es imposible trabajar. necesito una solución permanente.. atentamente, XY de XY.",Mantenimiento Correctivo
10030,"El ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.",2022-12-01 00:42:54,"XY (XY) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: el ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.",Mantenimiento Correctivo
10035,¿Pueden guiarme paso a paso para solucionarlo?,2022-07-08 20:41:29,XY funes (data dynamics) reporta el siguiente inconveniente: ¿pueden guiarme paso a paso para solucionarlo?,Mantenimiento Correctivo
10036,"El WiFi sigue cayéndose, es imposible trabajar. Necesito una solución permanente.",2023-09-07 12:54:07,"desde global innovations, XY informa: recientemente he tenido un inconveniente: el wifi sigue cayéndose, es imposible trabajar. necesito una solución permanente.",Mantenimiento Correctivo
10027,Problemas con la tarjeta de red inalámbrica.,2022-09-03 19:07:29,"esto pasa desde ayer: problemas con la tarjeta de red inalámbrica.. atentamente, XY de secureit.",Mantenimiento Correctivo
10037,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-01-26 20:41:11,"XY (secureit) reporta el siguiente inconveniente: hoy ha ocurrido lo siguiente: batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",Mantenimiento Correctivo
10038,Necesito una indicación como la vez anterior que se pudo resolver rápidamente.,2023-11-05 04:19:10,"desde digital edge, XY informa: necesito una indicación como la vez anterior que se pudo resolver rápidamente.. a esto se suma el inconveniente de que pantalla con píxeles muertos.",Mantenimiento Correctivo
