ID Usuario,subject,fecha_recepcion_requerimiento,descriptions_anonymized
0010000,El disco duro está lleno.,2022-10-08 02:18:36,"soy XY de XY y tengo el siguiente problema: el disco duro está lleno.. y para colmo, el navegador web funciona muy lento."
0010001,"Error en la BIOS/UEFI, el equipo no arranca.",2023-02-24 12:00:16,"soy XY de XY y tengo el siguiente problema: esto comenzó hace un par de horas: error en la bios/uefi, el equipo no arranca."
0010002,Problemas de conectividad de red y fallos en la navegación.,2023-10-25 01:01:45,reporte de XY por parte de XY: esto pasa desde ayer: problemas de conectividad de red y fallos en la navegación.
0010003,Actualizaciones del sistema operativo pendientes o fallidas.,2023-07-06 19:11:08,soy XY de XY y tengo el siguiente problema: hoy ha ocurrido lo siguiente: actualizaciones del sistema operativo pendientes o fallidas.
0010004,Rendimiento general muy bajo.,2022-01-22 16:09:29,"problema: rendimiento general muy bajo.. además, también he notado que sistema operativo lento, necesita optimización.. contacto: XY, code builders."
0010005,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2023-05-01 13:55:08,"esto comenzó hace un par de horas: rendimiento bajo, ventilador ruidoso y teclado defectuoso.. atentamente, XY de networks corp."
0010006,"Estoy realmente frustrado, mi equipo no funciona desde hace días.",2023-08-10 10:14:29,"estoy realmente frustrado, mi equipo no funciona desde hace días.. atentamente, josefa XY de future systems."
0010007,Ventilador hace mucho ruido.,2023-11-21 03:13:55,soy XY de cloud services y tengo el siguiente problema: he notado que desde la semana pasada: ventilador hace mucho ruido.
0010008,Problemas de Bluetooth y se borró información.,2022-05-21 06:45:06,reporte de global innovations por parte de XY: esto pasa desde ayer: problemas de bluetooth y se borró información.
0010009,"Problemas de gráficos, pantalla parpadea.",2023-11-06 12:33:23,"problema: problemas de gráficos, pantalla parpadea.. también quiero reportar que se ha borrado información accidentalmente.. contacto: josefa XY, cloud services."
0010010,El WiFi es intermitente y el sistema está lento.,2023-10-01 01:52:17,soy XY de XY y tengo el siguiente problema: el wifi es intermitente y el sistema está lento.
0010011,"Sonido no funciona, micrófono no detectado y webcam con problemas.",2023-05-22 19:39:36,"recientemente he tenido un inconveniente: sonido no funciona, micrófono no detectado y webcam con problemas.. atentamente, XY de code builders."
0010012,El disco duro está lleno.,2022-10-01 08:04:49,reporte de cloud services por parte de XY: hoy ha ocurrido lo siguiente: el disco duro está lleno.. también quiero reportar que problemas de audio y webcam no funciona.
0010013,"Puertos USB inoperativos, falta de espacio y rendimiento deficiente.",2023-02-03 18:16:28,"XY (future systems) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: puertos usb inoperativos, falta de espacio y rendimiento deficiente."
0010014,"Estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?",2023-03-05 17:36:02,"soy XY de networks corp y tengo el siguiente problema: hoy ha ocurrido lo siguiente: estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?"
0010015,Necesito que esto esté funcionando para mañana.,2022-12-14 07:32:55,"XY funes (data dynamics) reporta el siguiente inconveniente: esto comenzó hace un par de horas: necesito que esto esté funcionando para mañana.. además, también he notado que fallo en disco duro, pérdida de datos."
0010016,"Software no responde, sistema lento y fallo en disco duro.",2022-11-25 18:38:01,"soy XY de code builders y tengo el siguiente problema: he notado que desde la semana pasada: software no responde, sistema lento y fallo en disco duro."
0010017,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2023-05-16 20:40:26,"reporte de future systems por parte de XY mosquera: esto comenzó hace un par de horas: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!"
0010018,¿Pueden guiarme paso a paso para solucionarlo?,2022-08-06 14:03:25,reporte de future systems por parte de XY: ¿pueden guiarme paso a paso para solucionarlo?
0010019,"Conexión a internet lenta, navegador web con fallos y mensajes emergentes.",2023-11-27 12:48:14,"soy josefa XY de digital edge y tengo el siguiente problema: conexión a internet lenta, navegador web con fallos y mensajes emergentes.. también quiero reportar que error en la bios/uefi, el equipo no arranca."
0010020,"Error de sistema, disco duro lleno y necesidad de nuevo software.",2022-06-02 14:30:59,"error de sistema, disco duro lleno y necesidad de nuevo software.. además, también he notado que el equipo no se conecta a internet después de una actualización.. atentamente, josefa asprilla de global innovations."
0010021,Necesito que esto esté funcionando para mañana.,2023-07-30 12:01:18,"desde global innovations, XY mosquera informa: esto pasa desde ayer: necesito que esto esté funcionando para mañana."
0010022,"Problemas de seguridad, posible infección de malware.",2023-03-12 18:32:15,"reporte de secureit por parte de XY: esto pasa desde ayer: problemas de seguridad, posible infección de malware.. también quiero reportar que monitor externo no detectado y no hay señal de video."
0010023,Batería se descarga muy rápido y el equipo se apaga.,2022-05-04 17:59:08,"desde secureit, XY informa: batería se descarga muy rápido y el equipo se apaga.. también quiero reportar que el equipo no responde y la pantalla está en negro."
0010024,Me siento impotente ante estos fallos continuos.,2023-09-22 00:49:32,"me siento impotente ante estos fallos continuos.. atentamente, XY de secureit."
0010025,"Impresora offline, problemas de conectividad y archivos corruptos.",2023-02-01 15:48:13,"el problema se presenta desde hace unos días: impresora offline, problemas de conectividad y archivos corruptos.. atentamente, XY valderrama de digital edge."
0010000,El navegador web funciona muy lento.,2023-05-09 12:01:47,XY (cloud services) reporta el siguiente inconveniente: el navegador web funciona muy lento.
0010016,Problemas de licencias y antivirus ineficaz.,2023-04-12 01:16:41,"desde XY, XY informa: hoy ha ocurrido lo siguiente: problemas de licencias y antivirus ineficaz."
